Led,React (ms)
3,461
3,412
3,349
3,552
2,481
2,368
2,311
3,440
3,389
2,429
3,620
2,533
3,392
3,444
3,395
3,876
2,423
2,437
2,473
2,501
3,485
3,296
3,591
2,366
2,511
2,359
2,352
2,382
2,402
3,361
3,405
3,468
2,335
3,461
3,412
3,349
3,552
2,481
2,368
2,311
3,440
3,389
2,429
3,620
2,533
3,392
3,444
3,395
3,876
2,423
2,437
2,473
2,501
3,485
3,296
3,591
2,366
2,511
2,359
2,352
2,382
2,402
3,361
3,405
3,468
2,335
3,461
3,412
3,349
3,552
2,481
2,368
2,311
3,440
3,389
2,429
3,620
2,533
3,392
3,444
3,395
3,876
2,423
2,437
2,473
2,501
3,485
3,296
3,591
2,366
2,511
2,359
2,352
2,382
2,402
3,361
3,405
3,468
2,335
2,402
