Led,React (ms)
1,534
1,435
1,428
1,293
1,315
1,242
1,256
1,381
1,374
1,291
1,245
1,228
1,290
1,266
1,309
1,287
1,351
1,209
1,214
1,282
1,291
1,399
1,228
1,314
1,245
1,317
1,257
1,284
1,264
1,310
1,306
1,333
1,324
1,534
1,435
1,428
1,293
1,315
1,242
1,256
1,381
1,374
1,291
1,245
1,228
1,290
1,266
1,309
1,287
1,351
1,209
1,214
1,282
1,291
1,399
1,228
1,314
1,245
1,317
1,257
1,284
1,264
1,310
1,306
1,333
1,324
1,534
1,435
1,428
1,293
1,315
1,242
1,256
1,381
1,374
1,291
1,245
1,228
1,290
1,266
1,309
1,287
1,351
1,209
1,214
1,282
1,291
1,399
1,228
1,314
1,245
1,317
1,257
1,284
1,264
1,310
1,306
1,333
1,324
1,288
