Led,React (ms)
1,247
1,293
1,177
1,420
1,192
1,193
1,260
1,192
1,210
1,185
1,180
1,332
1,243
1,194
1,182
1,202
1,213
1,232
1,321
1,313
1,386
1,412
1,202
1,192
1,184
1,176
1,218
1,200
1,182
1,233
1,188
1,233
1,240
1,173
1,187
1,255
1,402
1,327
1,185
1,191
1,229
1,204
1,218
1,297
1,230
1,196
1,219
1,234
1,216
1,219
1,235
1,388
1,209
1,222
1,184
1,214
1,200
1,383
1,186
1,214
1,195
1,209
1,190
1,164
1,218
1,260
1,280
1,201
1,216
1,184
1,196
1,218
1,321
1,316
1,222
1,158
1,178
1,227
1,390
1,196
1,179
1,219
1,247
1,186
1,194
1,354
1,216
1,205
1,207
1,189
1,198
1,204
1,231
1,230
1,214
1,335
1,381
1,202
1,198
1,144
