Led,React (ms)
1,196
1,158
1,142
1,139
1,220
1,208
1,302
1,208
1,196
1,232
1,194
1,199
1,174
1,174
1,318
1,358
1,409
1,326
1,161
1,187
1,362
1,198
1,250
1,453
1,185
1,205
1,280
1,190
1,253
1,141
1,253
1,178
1,237
1,246
1,376
1,163
1,180
1,188
1,177
1,239
1,438
1,197
1,185
1,180
1,192
1,373
1,368
1,195
1,228
1,145
1,219
1,188
1,185
1,181
1,163
1,206
1,428
1,165
1,322
1,167
1,215
1,169
1,185
1,172
1,174
1,83
1,144
1,151
1,163
1,211
1,122
1,184
1,202
1,198
1,216
1,187
1,153
1,134
1,158
1,189
1,162
1,144
1,139
1,192
1,192
1,177
1,163
1,192
1,174
1,165
1,186
1,200
1,154
1,176
1,141
1,153
1,161
1,162
1,165
1,25
