Led,React (ms)
1,241
1,193
1,211
1,205
1,198
1,258
1,187
1,235
1,194
1,194
1,219
1,189
1,258
1,228
1,185
1,196
1,229
1,220
1,206
1,227
1,227
1,174
1,188
1,211
1,184
1,229
1,256
1,166
1,173
1,175
1,178
1,184
1,185
1,175
1,183
1,164
1,225
1,183
1,195
1,211
1,188
1,188
1,142
1,195
1,175
1,195
1,258
1,185
1,182
1,207
1,175
1,216
1,205
1,231
1,197
1,216
1,198
1,153
1,161
1,144
1,204
1,162
1,172
1,176
1,206
1,219
1,204
1,183
1,206
1,246
1,218
1,178
1,190
1,191
1,198
1,198
1,174
1,186
1,174
1,219
1,150
1,151
1,187
1,232
1,203
1,201
1,181
1,205
1,204
1,215
1,191
1,187
1,189
1,201
1,252
1,198
1,203
1,241
1,238
1,190
1,191
1,201
1,126
1,180
1,179
1,172
1,177
1,172
1,188
1,202
1,207
1,206
1,201
1,180
1,214
1,209
1,203
1,183
1,241
1,180
1,180
1,214
1,184
1,179
1,182
1,170
1,206
1,216
1,190
1,221
1,177
1,136
1,235
1,201
1,195
1,217
1,227
