Led,React (ms)
2,772
2,419
2,397
1,420
1,312
2,318
2,338
2,321
2,333
2,328
1,740
2,337
1,285
1,301
2,348
2,315
2,301
1,315
1,301
1,304
1,498
1,278
1,297
2,331
1,294
2,325
2,667
2,264
2,425
1,462
2,273
1,313
1,338
1,344
2,507
1,353
1,367
2,366
2,376
2,356
1,375
1,432
1,338
2,339
1,325
1,313
1,299
1,342
2,374
2,685
1,322
1,351
1,321
2,360
1,336
2,345
1,288
1,351
1,374
2,407
1,409
1,522
2,318
2,285
2,404
1,318
1,292
2,332
1,390
1,564
1,360
2,377
1,484
2,530
2,421
1,326
2,600
1,390
2,453
2,414
1,607
2,520
2,388
1,303
2,692
2,314
1,346
2,387
1,320
2,457
1,565
2,503
2,504
2,799
2,883
2,364
1,366
2,468
2,331
2,290
