Time,Distance
0,0.00
693,8.88
698,8.47
703,8.99
708,8.94
714,8.92
719,8.51
724,8.51
730,8.40
735,8.40
740,8.40
745,8.40
750,8.40
758,8.40
769,8.40
779,8.40
789,8.51
800,8.51
811,8.51
821,8.40
831,8.40
841,8.40
851,8.51
862,8.51
873,8.51
883,8.51
893,8.40
904,8.40
914,8.40
924,8.51
935,8.51
946,8.51
956,8.40
966,8.40
976,8.40
987,8.51
998,8.51
1008,8.52
1019,8.40
1031,8.35
1042,8.35
1053,8.45
1065,8.40
1077,8.39
1088,8.23
1099,8.23
1111,8.18
1122,8.28
1134,8.63
1145,8.21
1157,8.45
1168,8.04
1179,7.99
1190,8.09
1203,8.09
1214,8.09
1225,8.47
1236,8.52
1248,8.64
1259,8.94
1271,9.23
1283,9.60
1294,10.14
1306,10.98
1318,11.97
1332,13.05
1344,14.15
1356,15.81
1369,17.12
1381,18.13
1393,20.32
1406,22.05
1419,24.39
1431,25.85
1443,28.40
1456,31.13
1469,33.67
1481,38.24
1494,81.39
1506,89.18
1518,96.54
1531,91.99
1544,94.58
1556,91.14
1568,87.29
1581,87.62
1593,80.38
1606,83.61
1618,72.96
1631,68.67
1643,73.52
1655,79.95
1669,81.21
1681,77.04
1693,72.72
1705,73.16
1718,72.82
1731,72.75
1743,72.77
1756,72.37
1768,72.37
1780,72.68
1793,72.78
1806,73.20
1818,72.37
1830,72.78
1843,72.68
1855,72.78
1868,72.78
1881,72.78
1893,72.78
1905,73.09
1917,73.20
1931,72.37
1943,72.36
1955,73.16
1968,72.37
1980,72.27
1992,73.20
